
############### Grid Search ###############
---------------- RFC ----------------
Grid Search CV Results:
     mean_fit_time  std_fit_time  mean_score_time  std_score_time  \
74               0.763158              0.776316              0.855263   
75               0.750000              0.763158              0.828947   
76               0.750000              0.750000              0.842105   
77               0.763158              0.763158              0.828947   
78               0.736842              0.750000              0.828947   
79               0.723684              0.763158              0.855263   
80               0.736842              0.763158              0.868421   
81               0.750000              0.763158              0.855263   
82               0.750000              0.763158              0.855263   
83               0.750000              0.763158              0.842105   
84               0.789474              0.723684              0.868421   
85               0.763158              0.763158              0.855263   
86               0.736842              0.736842              0.855263   
87               0.763158              0.736842              0.855263   
88               0.776316              0.736842              0.855263   
89               0.763158              0.750000              0.868421   
90               0.763158              0.750000              0.868421   
91               0.763158              0.750000              0.828947   
92               0.763158              0.736842              0.828947   
93               0.763158              0.736842              0.868421   
94               0.736842              0.763158              0.855263   
95               0.763158              0.750000              0.855263   
96               0.750000              0.697368              0.736842   
97               0.789474              0.723684              0.881579   
98               0.789474              0.736842              0.881579   
99               0.802632              0.723684              0.842105   
100              0.815789              0.723684              0.842105   
101              0.789474              0.723684              0.855263   
102              0.776316              0.710526              0.881579   
103              0.736842              0.750000              0.855263   
104              0.763158              0.723684              0.855263   
105              0.789474              0.723684              0.868421   
106              0.776316              0.723684              0.868421   
107              0.776316              0.723684              0.855263   
108              0.776316              0.723684              0.855263   
109              0.802632              0.763158              0.842105   
110              0.789474              0.750000              0.828947   
111              0.776316              0.763158              0.868421   
112              0.776316              0.750000              0.855263   
113              0.776316              0.736842              0.855263   
114              0.815789              0.684211              0.855263   
115              0.750000              0.723684              0.842105   
116              0.750000              0.723684              0.855263   
117              0.763158              0.723684              0.868421   
118              0.763158              0.723684              0.881579   
119              0.776316              0.723684              0.868421   
120              0.802632              0.736842              0.802632   
121              0.802632              0.763158              0.868421   
122              0.815789              0.750000              0.868421   
123              0.828947              0.736842              0.855263   
124              0.828947              0.736842              0.842105   
125              0.815789              0.736842              0.855263   
126              0.789474              0.723684              0.868421   
127              0.723684              0.736842              0.828947   
128              0.776316              0.723684              0.855263   
129              0.789474              0.723684              0.868421   
130              0.776316              0.736842              0.868421   
131              0.789474              0.736842              0.855263   
132              0.802632              0.723684              0.828947   
133              0.802632              0.776316              0.855263   
134              0.802632              0.750000              0.855263   
135              0.789474              0.763158              0.881579   
136              0.789474              0.763158              0.868421   
137              0.776316              0.750000              0.868421   
138              0.776316              0.723684              0.881579   
139              0.763158              0.750000              0.881579   
140              0.776316              0.723684              0.828947   
141              0.776316              0.736842              0.855263   
142              0.776316              0.750000              0.855263   
143              0.776316              0.750000              0.855263   

     split4_test_accuracy  mean_test_accuracy  std_test_accuracy  \
0                0.763158            0.784792           0.029407   
1                0.750000            0.784723           0.028693   
2                0.736842            0.790021           0.044048   
3                0.750000            0.774299           0.036497   
4                0.763158            0.782160           0.031722   
5                0.763158            0.782160           0.030611   
6                0.763158            0.779494           0.034895   
7                0.776316            0.784757           0.037862   
8                0.789474            0.774334           0.038117   
9                0.789474            0.774299           0.034548   
10               0.789474            0.779563           0.035445   
11               0.776316            0.782160           0.039501   
12               0.763158            0.782228           0.037246   
13               0.763158            0.776931           0.040588   
14               0.802632            0.787491           0.051792   
15               0.815789            0.787491           0.047612   
16               0.802632            0.790123           0.036544   
17               0.802632            0.795352           0.033350   
18               0.815789            0.787457           0.063377   
19               0.789474            0.776965           0.035823   
20               0.842105            0.792686           0.049341   
